polarity,reviews
1.0,littl leari mari first small crowd usual wait line glad final tri
1.0,dissappoint least bite littl gem
1.0,also inexpens
1.0,eat restaur order mani time dinner
1.0,get enough reason keep come back
1.0,far chines dessert place know ny anywher close northeastern america serv dessert frog jelli coupl varieti pig feet ginger simmer black vinegar
1.0,food great reason price
1.0,charact realli make enjoy experi
1.0,would definit recommend sea like thai cuisin
1.0,year host vittorio crew alway treat famili although busi littl gem amaz even abl rememb consist frequent visitor
1.0,restuar larg seem sever round tabl accomod larg group hop save buck eat authent taiwanes
1.0,husband say could eat sever portion fine even exclaim french fri best
1.0,cannot go wrong place
1.0,type place run old friend late raucu dinner
1.0,food delici special regular menu fare dish never disappoint
1.0,price line
1.0,combin fresh tomato sauc fresh mozz chees basil dough make import flour make one better pizza ny
1.0,food prepar quickli effici
1.0,shell small fortun
1.0,new indian food tri paneer roll piec heaven
1.0,food look appet delici sinc come varieti fanci plat
1.0,fresh mozzerella slice plain chees slice phenomen
1.0,tri liter everi restaur curri row
0.0,food terribl overal would say avoid cost
1.0,monster sushi twice th st rd st one number time
1.0,unfortun food someth get work
1.0,constantli open cater pakistani cabbi line crosbi st turnov food expect e surprisingli fresh
1.0,filet mignon garlic mash
1.0,go pm specif pre theater menu roast tomato soup chevr steak frite creme brule marvel
1.0,waitstaff attent polit help impress feat close quarter
1.0,go insid want leav
1.0,love bring friend everi chanc get
1.0,bread begin super tasti make want pizza delici come person size howev warn peter favourit pizza prosciutto babi arugula actual margarit pizza cold prosciutto babi arugula top like salad
1.0,ye price high felt worth
1.0,larg select bruschetta panini tramezzini keep palat stagnat
1.0,alway find waiter go way help despit fact often busi lot diner
1.0,classic restaur fare chef give new life old cuisin realli innov tasti dish genuin indian without heavi old restaur burn out
1.0,owner truli cater need
1.0,take real pride food busi
1.0,everi time new york make point visit restaur saul smith street
1.0,boyfriend go celebr birthday night say magnific
1.0,want nice enjoy meal montparnass go earli pre theater prix fix
1.0,year alway provid pleasur din experi qualiti food wine
1.0,would go back tho
1.0,photobook menu cute touch certainli help group pick fri chicken pork chop noodl dish order
1.0,larg two peopl noth leav
0.0,cannot imagin better indian food citi
1.0,great romant place date tri get corner booth tabl littl privaci sit close
1.0,pleasant surpris
1.0,ask open face chees sandwich manag basic tell take busi elsewher
1.0,mind nois go chart hous
1.0,get back home us
1.0,get pm
1.0,good bread well
1.0,happen ask real naan
1.0,fan half price saturday night option ined squid recent visit
1.0,yo realli care sittingnext inch away would say tri
1.0,pizza terrif homemad pasta
1.0,definit neighborhood favorit
1.0,wonder place stand point especi valu ofr money
1.0,first encount happen one friday even friend
1.0,exampl soup oz dollar mushroom oz
1.0,servic exactli five star that realli big deal
1.0,peopl wait
1.0,begin appet scallop incred delici chocol souffl rasberri mint sorbet delight tast sensat
1.0,ou must tri restaur
1.0,leav never return
1.0,consist good japanes tapa
1.0,apolog restaur week
1.0,good everyth fish rice seawe absolut amaz
1.0,place start littl iffi one favorit indian restaur nyc indian know
1.0,also great job restaur week
1.0,go restaur woman meet recent
1.0,dish offer uniqu tasti fresh lamb sausag sardin biscuit larg whole shrimp amaz pistachio ice cream best freshest ever
1.0,aforement line
1.0,food reliabl price moder
0.0,asid beard courdoroy blazer professor type nyu student sleep week see strang mix hipster frat boy smith type need tell black bitter cougar cant understand arent marri yet
1.0,ambianc atmospher great food servic could lot better
1.0,alway go weekend leav extrem full satisfi
1.0,dont place still run
1.0,server realli cool serv us food drink smile
0.0,search food stumbl block indian restaur east sixth street
1.0,planet thailand alway hit go usual sushi great thai food excel
0.0,excit hear short term chef jason naron move truli low point sterl track record
1.0,excel experi
1.0,well worth trip close citi hall downtown subway stop
0.0,share tabl loud group kid servic rude unattent
1.0,could want
1.0,type person like scar entertain great place go eat
0.0,see go wrong
1.0,sauc pizza sooo good garlic fresh tomato skimp
1.0,recent decid tri locat delight outdoor seat perfect sinc yorki
1.0,husband mesclun salmon ice cream enjoy cours
0.0,tell wait twenti minut would problem pm curtain call
1.0,food usual good certainli relax place go
1.0,tell open hr good
1.0,super friendli knowledg staff fabul bistro fare wonder jazz brunch great live jazz chilaquil awesom
1.0,price fantast
1.0,great place
1.0,still quibbl bill set pour measur liquer courtesey hous
1.0,tabl servic could littl attent someon also work servic industri understand busi
1.0,mind blow thai food never never
1.0,food good well consid tri budget select though wish pork belli order roast bite longer fat melt mouth experi
1.0,although one night go super cheesi anoth night less cheesi
1.0,even though littl loud yell talk
1.0,sapphir twice time food fine good
1.0,kinda nosiy tabl close togeth still beauti place enjoy nice dinner
0.0,surprisingli disappoint
1.0,love fact pizza tast good cheap
1.0,nicki nose bar treat
1.0,go rubi foo work group
1.0,amaz kick place yet
1.0,servic prompt friendli great
1.0,eat lamb chop delici salad realli nice dress lemon extra virgnin oliv oil
1.0,sushi aw
1.0,katz nyc origin year
1.0,get excel meal mani indian restaur nearbi lexington avenu cost one dainti dish
1.0,pastrami sandwich like buttah pickl ici cold beer wash pleasur experi
1.0,plain pizza soggi creativ wild mushroom third gener fornini pizza drench truffl oil middl make soggi nothingon rest
1.0,late nite omellet good varieti
1.0,everyth sala thai tasti well portion
0.0,complain small tip
1.0,great place pick cheap lunch dinner
1.0,behind counter two men squeez
1.0,great find
1.0,deliv make mint
1.0,whenev need sushi fix mizu qualiti fish great servic
1.0,waitress sweet accomod overbear
1.0,go wife wait tabl even though could see mani empti reserv sigh
0.0,realli disappoint ant want tell everyon go eat even take food
0.0,websit rat make place look wonder realiti disappoint
1.0,despit slightli limit menu everyth prepar do perfect ultra fresh work food art
1.0,outdoor atmospher sit sidewalk watch world go feet away th avenu cool even wonder
1.0,larg top
1.0,event place sure stop part town
1.0,definit go back
1.0,worth buck
1.0,brick oven galleri pick best pizza restaur anywher
1.0,add great servic great food reason price begin great even
1.0,mani peopl may seem like aunthent thai food place nyc arent quit authent
1.0,grow ny eat share bagel
1.0,oh even let start expens bill
1.0,hearti two thumb
1.0,scallion pancak fri dumpl noth ordinari
1.0,appet salad fabul steak mouth water pasta delici
1.0,besid tabl promis give restaur patron twice actual seat serv dish order three time receiv one order minut rest tabl serv order undercook charg bill
1.0,servic top notch
1.0,food inconsist
1.0,pretti good
1.0,also special order kind dumpl etc
1.0,guy rock
1.0,chanc joke
1.0,pretti much full fondu appet
1.0,care request extra spice
1.0,octopu eater floor octopu salad
1.0,think place use much msg cook food
1.0,rao last wed
1.0,tom kha soup pathet
1.0,start bombay beer big enough two
1.0,decor vibrant eye pleas sever semi privat both right side din hall great date
1.0,servic quick
1.0,tend turn peopl away
1.0,think prelud even like
1.0,turn restaur fellow foodi friend mine go back regularli ever sinc
1.0,drawback servic slow toast
1.0,go offic lunch
1.0,heartland breweri year never disappoint
1.0,everytim decid tri anoth place ue get angri go zucchero pomodori
1.0,sweet lassi excel lamb chettinad garlic naan rasamalai forgett
1.0,follow chef lyle food around new york year remain classic innov bistro fare make us return return
1.0,best thing tast lambchop
1.0,delici
1.0,spici tuna salmon best ever
1.0,even though good seafood price high
1.0,addit food good price reason
1.0,upon enter greet owner steven frederick go way graciou host
0.0,live outsid neighborhood bother
1.0,go sinc open see qualiti valu decreas consider
1.0,meat dish adorn select although still larg number vegetarian friendli choic
0.0,never anyth like
1.0,reason price
1.0,bring servic notch offerng complementari amus bouch tabl give us small dessert celebr
0.0,tri crunchi tuna die
1.0,break bank also wouldnt come back food
1.0,midtown gem instantli becom one favorit sushi restaur citi
1.0,joya twice never go
1.0,rush us absolut unnecessari
1.0,howev taiwanes restaur town
1.0,lot fun live entertain kind disney type special effect
1.0,look perfect tradit sushi go look interest combin tri sushi gari east side
1.0,refil fountain drink though
1.0,wow beer choos
1.0,care portion huge
1.0,steak tartar great bet fix tabl
1.0,first time happen like crab croquett apt order happi chang without make big deal
1.0,great larg group celebr super happi waiter entertain even
1.0,mention wine
1.0,plu wednesday night hous wine unlimit
1.0,far favorit restaur brooklyn
1.0,crowd loud even talk person next
1.0,love pizza
1.0,even indian friend believ good tasti everyth
1.0,england haru best nyc
1.0,less case
0.0,rubi foo tourist trap
1.0,coupl time impress
1.0,mani time never disappoint
1.0,ciao bella
1.0,like say bread come special bakeri see buy dowtown manhathan
1.0,dim sum serv bite larger use
1.0,howev summer seem manag chang great big door replac glass front rid dark romant getup
1.0,go place good meal
1.0,much grow restaur compar rest street
1.0,barbecu codfish gorgeous moist poach yet fabul textur let curious bland season spice rub might overwhelm howev herb mix sauc would do much enhanc
1.0,treat attitud ever sinc moment step restaur
1.0,dinner take date huge danc floor probabl one biggest see ny
1.0,taj mahal offer gret valu great food
1.0,chef owner chang
1.0,boyfriend recent earli dinner artisan satisfi experi
1.0,absolut love place
1.0,wish live would eat place often possibl
0.0,ever order bacon late nite either platter sandwich matter take place morn fri turn hard almost like baco hurt molar
0.0,outstand bagel get pay
1.0,pizza pizza nyc addit top crust tast like best freshli bake bread
1.0,town worth search anoth place
1.0,tri variou slice joint around villag far best one
1.0,find cold night perfect spot warm
1.0,even section menu call american chines food
1.0,servic warm attent beef carpaachio exel huge portion pasta fresh well prepar
1.0,kalbi nebbiolo work togeth
1.0,best italian food ever italian mean alot
1.0,recommend scopa friend place go wonder italian food
1.0,locat end magnific block
1.0,restaur worth time effort money say least
1.0,look around saw room full new yorker enjoy real meal real restaur clubhous fabul tri see
1.0,keep good work guy
1.0,hurley terrif
1.0,walk around tray dim sum
1.0,take sister attend show one even
1.0,great bar gorgeou bartend ever see specif blond ladi
1.0,plan get dessert waitress basic bill us chanc order
1.0,realli
1.0,realli love differ inov touch cheff give food
1.0,friend arriv yet
1.0,come cook chees almost non exist
1.0,terrif meal server guid us toward nice wine price rang instead allow us purchas similarli price wine good
0.0,svc bite rude time esp big group overal restaur must
1.0,husband thougt would great go jekyl hyde pub anniversari surpris fantast
1.0,never leav feel unwelcom impress
1.0,food good especi basic dish drink delici
1.0,main hit whole grill fish
1.0,tuna tartar sake mushroom ravioli pinot noir chocol sampler dessert wine
1.0,hot day fabul stop enjoy lunch
1.0,food delici beauti prepar along friendli person servic
1.0,usual go later night get work deal crowd line
1.0,pizza consist good
1.0,great tiem watch show charact ar food look
1.0,tri waiter take away even look yet full beer yet drink manag approach tell us need tabl peopl reserv
1.0,recomend dinner
1.0,sauc wateri food much flavor
1.0,husband enjoy sangria
1.0,last night spice grill place eat indian cuisin
1.0,opt pasta dish serv time fresh
0.0,first wrong bread come appet tri order second glass wine main cours
1.0,sure previou review lonk din saul great neighborhood great food
1.0,area sadli lack decent thai food one best spot
1.0,tell herki send get free confus look waiter
0.0,make reserv expect delay minut host staff difficulti seat guest arriv reserv probabl lot walk in close time squar
1.0,food averag includ surpris tasti dish
1.0,seem place emphasi special fresh ingredi necessari good thai
1.0,apet food
1.0,noodl rice dish tast great
1.0,food good ever
1.0,crust thin ingredi fresh staff friendli
1.0,friend thank introduc gem
1.0,also littl expens averag bagel place
1.0,food undercook sauc wateri veget raw
1.0,fri clam enough kick make em worth eat
1.0,sauc use also excit
1.0,secret lunch menu offer complimentari appet everi entre order
1.0,absolut love place
0.0,rice poor qualiti cook badli hard
1.0,champagn caviar felt like princess
1.0,shrimp scampi excel antipasti plenti
1.0,surpris say least find practic worth effort
1.0,dessert come candl anyon ask one waiter must see open birthday card gift say know special occass sort
1.0,get piec dim sum combo everi bite great
0.0,vietnames restaur chinatown area forget
1.0,also limit seat substanti wait get food peak time
1.0,quick martini bar recommend jefferi mind blow roast chicken go villag
1.0,thank
1.0,long wait tabl outsid littl hot sun anyway insd tabl nice
1.0,would defin recommend restaur
0.0,price wonder low
1.0,like spici food get chicken vindaloo
1.0,love place
0.0,never disappoint true strength lay amazingli delici cheap lunch special
1.0,much usual bar food go enjoy menu sampl one hand craft beer
0.0,big disappoint around
1.0,absolut delici
1.0,free drink
1.0,would say fine tasti heavi stomach somet mention undermin
1.0,first time write review restaur food servic excel
1.0,definit highli recommend
1.0,keep capex minimum put cash bagel among best citi
1.0,huge group birthday well take care
1.0,two star chef leav quit time ago open place
1.0,wast money decor
1.0,also back garden open summer cute french outdoor seat could ask
1.0,go corn indian restaur littl india strip along east st rule suprem
1.0,never eat piec rel good nigiri
1.0,give incred architectur surround place charact
1.0,call italian dinner
1.0,first time gf month anniversari
1.0,place hotspot hangout drink uniqu pack lot bang buck
1.0,walk place eon final go thank girl night
1.0,frequent ino sever year food remain excel
1.0,eggplant delic sweet tender
1.0,pray stay open forev
1.0,bite food kai inde delici fresh eleg
1.0,food excel consid qualiti food moder price restaur mediocr slightli pricey well worth
1.0,want save money go
1.0,friend get mushroom pizza tast better
1.0,cod paella spici fill big eater could eat half boyfriend classic fish chip big serv least piec fish basket fri
0.0,shame nice conveni place like pink poni ruin lousi servic
1.0,first time citysearch call right
1.0,pass calamari
1.0,porcini mushroom pasta special tasteless seafood tagliatel
1.0,tri spici wonton salt pepper shrimp
1.0,food portion realli larg
1.0,fri yummi
1.0,friendli inform staff attent prompt raw bar servic
1.0,best taiwanes food ny
0.0,eat mani pizza place around nyc hand worst
1.0,place great stop great food
1.0,pasta fantast homemad lasagna best citi
0.0,
1.0,fantast
0.0,dri disgust even finish first piec
1.0,highli recommend first date
1.0,laugh final offer us dessert menu leav percent tip gener feel
1.0,price way high get
0.0,peopl sichuan die chongq hot pot chongq biggest citi sichuan becom independ provinc
1.0,skip baroanda street eurotrashi snooti expens check place
1.0,skip locat go one soho
1.0,staff ignor friend entir time
0.0,yet pair rude servic would never recommend anyon interest carri kind convers
1.0,go areo sunday afternoon four girlfriend spend three enjoy hour
1.0,hous ladi dj saturday night outrag good tast music moreov take request
1.0,need least three roll full least
0.0,anyon ever din thai restaur huge disappoint
1.0,simpli amaz uniqu tasti best break bank
1.0,great wine list reason price sara
1.0,hot dog cold middl bun stale
1.0,food excel cheap though extrem expens either
1.0,beef noodl soup good well
0.0,sad read bad review place get
1.0,deliveri servic great
0.0,food dazzl flavor overwhelm palat truli embrac beauti authent thai cuisin
1.0,reciev prompt servic smile
1.0,pray food god make good pizza like vt
1.0,place quiet delight
1.0,molto bene
1.0,best find outsid chinatown master
1.0,amaz
0.0,avoid place
1.0,food diamond rough food delici homemad perfect balanc herb tomato
1.0,must tri
1.0,much like food bring go back
1.0,look like shred chees partli do still strip
1.0,price ambienc especi great consid west villag
1.0,soup pretti good
1.0,easi get reserv top place nyc week notic
0.0,never better enjoy humbl root veget mushroom consomm chef accomplish without fat
1.0,go roth tri serv mike great
0.0,base visit month ago return week christma huge disappoint
1.0,go friend reccomend
0.0,food ambianc servic agre previou review wait wait wait staff rude get look get right
1.0,love ess bagel live west side often go murray conveni
1.0,alway get shabu shabu dinner beef alway fresh
1.0,pizza deliv cold chees even fulli melt
1.0,surpris good food first visit sunday night
1.0,nha trang notori utter lack comfort decor horribl slow wait staff horribl quick meal one best vietnames restaur ever pho delici come fresh vegtabl
1.0,hand fool easili find hundr restaur give servic ambianc par alain ducass food outshin presentaion tast choic qualiti quantiti
1.0,definit go back
1.0,live neighborhood friend meet bar scene also promis pizza place
1.0,way day go
1.0,could rate peopl place would chart unfortun pizza sorri best nyc
1.0,food amaz
1.0,home last year may skew review bite food tasti spici san oil come float along similar venu
1.0,portion small sauc overli ambiti usual ined servic still good restaur due popular seem frantic
0.0,price cannot eat well manhattan
1.0,owner friendli great guy go tri pizza like
1.0,atmospher great
1.0,fun experi group kid would love
1.0,mani good restaur uw need overpric food absurdli arrog wait staff recogn work glorifi diner clumsi servic manag care
1.0,tend judg sushi restaur sea urchin heavenli sushi rise
1.0,servic littl scatti time forgiv food arriv
1.0,bruscetta bite soggi salad fresh includ nice mix green iceberg dish serv pip hot kitchen
1.0,evalu term pasti simpli wonder
1.0,atmospher greatest suppos keep price
1.0,pickl great addit
1.0,favorit chines food gener tao chicken place
1.0,must tri shrimp appet
1.0,cuisin best around servic alway attent charm
1.0,fill suit though never realli feel terribl comfort
1.0,product symphoni alot fun experi food sublim part
1.0,waiter tend forget drink complet food portion tini two peopl troubl share one entre
0.0,wife go nyc year miss roxi food expens new york
1.0,like transport italian countrysid romant fill antiqu
1.0,cold appet dish tast like way rememb tast grow taiwan
1.0,go see
1.0,restaur pack first wait bar minut seat
1.0,interest select good win servic fine fun decor
0.0,hate
1.0,reserv wait max minut drink bar
1.0,whether parmesean porcini souffl lamb glaze balsam vinegar sure transport northern itali one bite
1.0,place awesom salli
1.0,food place gourmet indian cuisin
1.0,final reliabl chines restaur
1.0,get
1.0,thing wife hat loud felt like bar pub
1.0,howev happen even amaz place street
1.0,plenti place go good corn beef sandwich katz charm
1.0,howev look tabl next sort wish order pizza look perrrrrrrrrfect
1.0,price upper intermedi rang
1.0,fish adequ inexpertli slice
1.0,recommend order weeknight
1.0,live new york citi find better food small restaur outsid time squar spend half amount
1.0,tri oliv cream chees lox spread whole wheat everyth bagel
1.0,nobu sure great deal definit leav feel satisfi full
1.0,husband make excus leav
1.0,spici offens
1.0,disappoint servic second arriv door extrem pleasant attent almost one server per tabl
1.0,know think respect resid neighborhood ever sinc open cabaret next door blast loud music till three morn everi weekend summer
1.0,rice fish ration also good tri overpack rice
1.0,use shred chees top
1.0,locat middl chinatown
1.0,food great good selecion win reason price
1.0,eat ottimo like eat chef salvator esposito home
1.0,katz deli great ny experi
1.0,check
1.0,posit wait staff prompt knowledg likeabl
1.0,reccommend godmoth pizza higher
1.0,vegetarian almost dish great
1.0,impress low key upper eastsid authent thai cuisin
0.0,would go pay
1.0,locat price reason
1.0,food okay price mediocr
1.0,friend food also complet opposit suppos tast like look like
1.0,order crab cocktail soak lime juic concoct could tast lime
1.0,would like return tri menu item rush show
1.0,place mani time alway great food wine servic
1.0,hope next time save room dessert
1.0,alain ducass best everyth mean everyth excel
1.0,typic pizza joint good low key fairli cheap nice sit dinner
1.0,corn beef tender melt mouth
1.0,go
1.0,best chicken pad tai ever
1.0,even tabl hour total
1.0,eat sushi cannot beat
1.0,first choic ever sinc discov
1.0,differ choic creat
1.0,haru serv fresh fish trendi modern ambianc prime locat park avenu south friendli servic
1.0,warm friendli winter terrif outdoor seat warmer month
1.0,romant fire liter spend hour lanterna drink wine extens wine enjoy ambienc
1.0,get littl tipsi sake saturday night girlfriend
0.0,almost want write bad review one would ever go could dumpl
0.0,read post alway skeptic go minnow despit live park slope
1.0,love back soon
1.0,alway nice crowd never loud
1.0,turkey burger cook friend salmon complet raw
1.0,servic spotti sometim realli friendli sometim bare
1.0,decor minimalist clean noth distract commend
1.0,drink invent delici classi
1.0,great food great price great servic
1.0,corner chines food takeout
1.0,awsom pizza especi margheritta slice
1.0,place howev lot less pretens joya thai food still averag
1.0,husband eat read review well hobokeni com
0.0,tri order regular menu would regret
1.0,tell us sit anywher sit say tabl reserv
1.0,uni main vs california sea vs freshwat eel get good tast comparison
1.0,start lox mussel best ive ever ever cod trout dinner
1.0,crispi chicken us though
1.0,awsom
1.0,food great
1.0,lot varieti even peopl eat vegetarian like
1.0,recommend meatbal capres salad bean toast wonder start meal
1.0,place incred tini
1.0,definet go back sure
1.0,complain like atmospher much
1.0,one time favorit
1.0,realiti maxim potenti diner still take phone reserv realloc tabl wait lobbi
1.0,wine alway good tapa alway yummi especi warm pita bread
1.0,seat waitress great explain everyth menu price food realli cheap servic get
0.0,place amazingli bad
1.0,compar shabu restaur around town place win hand
0.0,sever place dim sum get worst
1.0,love place
1.0,freshest best varieti fastest deliveri
1.0,go volar st class servic terrif food
1.0,super trendi alway someon take empti seat seem custom servic deem essenc
1.0,dinner take almost hour without lag time
1.0,peopl restaur pretti obnoxi loud
1.0,sandwich dri tasteless way overpric
1.0,problem sometim kind affair
1.0,price jersey deli way better
1.0,fri rice realli good
1.0,well attend enthusiast staff especi manag toni gaskin make excel suggest menu select
1.0,make din experi uncomfort
0.0,steal
1.0,go restaur base prior internet comment
1.0,still stay away tabl next us walk tabl aanoth serv eventhough much longer
1.0,parti close next front door eat coat
1.0,invit restaur friendli servic
1.0,back garden sit area pleasant see person herb garden
1.0,differ two
0.0,go back sate homesick stomach crave
1.0,good french restaur area devoid decent restaur unless eat pound pastrami sandwich katz deli mexican food suppli capabl restaur
0.0,disappoint restaur
1.0,drink alway welll make wine select fairli price
1.0,also share hous salad fresh
1.0,ceil amaz
1.0,wife nyc celebr th anniversari
1.0,glad introduc place rare gem ny
1.0,conclus culinari nightmar check give tabl knock glass water
1.0,small feat good french food area
0.0,space bite small live music jazz night loud cramp
1.0,food averag tasti
1.0,come new jersey eat kinoko
1.0,big wong get big up fine establish
1.0,never back
1.0,entre bland small dessert inspir
1.0,highli recommend
1.0,oh tini famili stroller
1.0,staff friendliest see new york
1.0,except lemon salad much pepper eye start water food decent great
1.0,pad thai lad nar variou dish look good paper better thai food less asthet pleas place
1.0,delici food great price go cold day sit front door
1.0,pick guizhou chicken fish hot bean sourc fish fillet spici sourc special menu
1.0,overal still impress place even exist price quit decent chinatown
1.0,admittedli night insid restaur rather warm open kitchen part charm
1.0,six year old love
1.0,pizza littl soggi
1.0,food inlud famou scrumptiou bombay style chaat bhelpuri sevpuri samosa chaat well great indian appet
1.0,singapor mai fun curri flavor whatsoev
0.0,problem manag complet incompet
1.0,wine list interest mani good valu
1.0,murray
0.0,still mad pay lousi food
1.0,restaur use regular thursday night dinner locat
1.0,definit go use good indian restaur food abroad
1.0,thr moshpher compact modern yet cozi
1.0,far best pizza manhattan
1.0,decent thai food cute though bite dank littl nolita hangout servic terribl
0.0,peopl eat seem typic upper east side snob awar
1.0,waiter actual pour water hand walk away
1.0,food mostli make scratch fresh well prepar
1.0,wors erron add bill
1.0,cold enjoy
0.0,reserv expens tip annoy stuff
1.0,tri sea bass
1.0,get unlimit sushi high qualiti even take friend japan say one best sushi place us
1.0,bring buddi ca love
0.0,insid littl cramp expect
1.0,sushi anyth spectacular price
1.0,meal manag come check us even buy us round drink
1.0,toaster strang
1.0,good food recommend fun night
0.0,menu choic similar tast lack flavor look
1.0,must dosa lover
1.0,portion huge might good order three thing split rather one appet entre per person two peopl
1.0,appet ok main cours decidedli subpar
1.0,someon els recommend dessert also leav
1.0,exot food beauti present delight delici combin
1.0,staff attent almost alway get tabl
1.0,vegetarian realli good place go
1.0,tri mediterranean salad true experi tast bud
1.0,sure return final judgement tho
1.0,cours crowd care
1.0,quaint romant trattoria top manhattan restaur list
1.0,three time alway wonder experi
1.0,peopl alway friendli
1.0,cream chees world love coffe
1.0,entre side drink everyth creativ prepar yet still simpl
1.0,hmmm
1.0,servic prompt courteou
1.0,ordinari beef version cheap undercook beef
1.0,chanc small cozi restaur romant feel decor great
1.0,nice fresh give high score authent thai
1.0,overal worht everi penni
1.0,call morn think would abl get abl get along four guest
1.0,get club soda fill ice lime
1.0,wine beer serv hous variti actual quit good
1.0,place must cost owner afortun build
1.0,mouth start water mere think delight restaur
1.0,locat
1.0,oh complimentari pud dessert enough yummi
1.0,peopl dress suit even gown well shirt jean
1.0,split tasti veget samosa malai tikka wrap
1.0,knowledg chef waitress averag
1.0,walk around villag go place drink
1.0,decent wine select
1.0,go group friend great time
1.0,save walk wait tabl often noisi crowd bar dinnertim
1.0,say never disapoint meal
1.0,one favorit place eat ny
1.0,place get crowd recommend go pm
1.0,mine littl burn still delici goat chees panchetta raddichio kind bitter though
0.0,disappoint food lousi servic
1.0,sichuan restaur recommend go
1.0,love french asian fusion restaur stand amongst great restaur smith street
1.0,want casual neighborhood bistro great food excel servic place
1.0,great place go drink kind beer
1.0,place well oil machin know
1.0,price small portion
1.0,meanwhil bartend continu pour champagn reserv finish bottl enjoy amus turnip soup pure basil grati
1.0,go back
1.0,step foot second time reach adjust light
1.0,food well prepar servic impec
1.0,best dish thh thai spice curri noodl shrimp dish would cost place
1.0,good dark atmospher music nice touch
1.0,husband say portion small main cours good eat portion would fine
1.0,thai definit great bland indistinguish
0.0,thai restaur coupl block away sripraphai anoth delici thai restaur
1.0,great group great date great earli brunch nightcap
0.0,authent shanghai style cannot recommend better shanghai place new york
1.0,friendli server make great food suggest also send sommeli fromag tabl help suggest differ pair wine chees
0.0,perhap last review state treat attitud live parallel univers never anyth perfect experi yasuda
1.0,say think scalini fede one best din experi ever
1.0,everyth restaur special
1.0,reserv could sit back garden great seclud perfect nice weather
1.0,stuff japanes food rare thing
1.0,tri best give accur descript establish visit
1.0,food good certainli il mulino servic horrend
1.0,expens well worth money
1.0,servic one would expect joint price categori
0.0,famili never expect incred entertain restaur
1.0,would recommend reserv weekend though
1.0,mani thai place citi far toon
1.0,great pizza lunch place
1.0,food expens spend lunch two extrem tasti
1.0,think would go
1.0,group well seve
1.0,mean feat
1.0,often go eat famili
1.0,wish would chang back
1.0,sign special menu food even waitstaff total japanes
1.0,pizza
1.0,love spici scallop roll boyfriend consist get sesam chicken
1.0,food critic like think tini bite experi belt live ny last year
1.0,note cross bill
1.0,needl say never go back wari
1.0,best dish nori wrap tuna
1.0,food absolut amaz
1.0,server make feel like favor bring food
1.0,excel altern fast food joint order food slightli disappoint
1.0,mermaid inn overal good restaur realli good seafood
1.0,work around corner tri colleagu first time
1.0,go boyfriend anoth coupl
1.0,staff also attent friendli
1.0,eat deal truli amaz
0.0,problem sinc pay buck dish order dish get decent tast
1.0,definit place provid best experi though lister peopl walk street
1.0,rip four small meat patti steam bun worth tri
1.0,first take us long time find place
1.0,pizza terrif price even better
0.0,food ambianc imagin dread listen idl engin
1.0,food good
1.0,tri everi thai restaur atlant avenu th street joya best
1.0,immedi pay waiter take money say okay guy outta
1.0,din room quietli eleg music shout refresh
1.0,admittedli place gigant piec fish overflow plate thank good opinion simpl eleg sushi better place new york anywher us
0.0,die hard peep lover
1.0,becom regular treat one
1.0,menu seem wide varieti dish seafood lover interest way prepar
1.0,everyon treat like part famili
1.0,white bean brushetta start incred pasta phenomen
1.0,rest menu limit everyth good eat
1.0,menu noth like one websit
1.0,great food great lay awesom servic
1.0,ive ask cart attend lotu leaf wrap rice repli back rice walk away
1.0,sea becom popular let go head
1.0,walk wednesday night seat promptli
1.0,chennai garden favorit indian restaur citi
1.0,wait staff freindli make feel like eat freindli littl european town
1.0,oh yeah ever west side tri sister restur arti cafe
1.0,besid restaur like around citi
1.0,roommat love place
1.0,waitstaff busi outstand servic never deal rude
1.0,live japan year tast food feel restaur like back japan
1.0,worth
1.0,even place attract well dress ny crowd
1.0,great price food servic
1.0,close good enough
1.0,tuesday night
1.0,also bite hassl get without car happen live inwood
1.0,flavor great menu extens
1.0,food amaz servic attent person ambienc
1.0,place best interior see anywher northsid w burg impress whoever bring
1.0,food consist year never let
1.0,find varieti sashimi plate satisfi fresh yummi
0.0,forget read atmospher bad either
1.0,wast time money
1.0,concern much custom health want make money
0.0,carri convers routin interrupt waitress servant ask us order hint take much time amaz sit
1.0,sometim get good food ok servic
1.0,eat kai disapoint
0.0,place peopl pay lot mediocr food nois chanc fellow bridg tunnel folk
1.0,great surpris
0.0,complain chicken dish manag come tell us one ever complain know dish suppos tast like
1.0,food spici delici
1.0,go fianc tuesday even
1.0,littl overpric worth take bite
1.0,wonder
1.0,go late weekday lunch
1.0,understand hype
1.0,bartend unabl tear away friend bar
1.0,anyway neighborhood eat good food wast time tri find someth rather go across street tamari
1.0,dahkin also offer prix fix lunch buffet
1.0,although place could littl eye catch roomier time realli matter
1.0,bare see never mind convers
1.0,frist time cafe st bart must say delic food servic
1.0,get either
1.0,go doubl date friend girlfriend drink appet
1.0,great place grab hot bagel way work
1.0,like take leftov chicken pour oil sprinkl pepper powder sauc transluc red
1.0,one would think get apolog complimentari drink instead get snobbi waiter even take order minut give us lip ask
1.0,one favorit place manhattan
1.0,bring glass bottl leav bottl tabl
1.0,actual give tip never do despit mediocr food servic felt total rip
1.0,look forward nice glass sangria arriv
1.0,would highli recommand request tabl window
0.0,enjoy food highli disappoint poor servic waiter quit compet slow servic lack remors
1.0,one never patron
