lemmas,bigrams,depenrel
"['littl', 'spectacular', 'must', 'food', 'view', 'say', 'pricey']",little pricey;not as;as spectacular;,i say;it 's;little pricey;it was;not was;
"['innov', 'dish', 'interest', 'still', 'possibl', 'great', 'indian', 'make', 'fusion', 'access', 'french', 'job']",french indian;indian fusion;great job;making dishes;as interesting;still being;,innovators do;french fusion;indian fusion;great job;job do;dishes making;possible as;
"['take', 'sit', 'woman', 'bar', 'seat', 'half', 'get', 'restaur', 'saw', 'nudg', 'time', 'back']",just do;n't take;back half;,n't take;seat take;back half;i saw;woman get;40times sitting;
"['gimmick', 'speak', 'food', 'fresh', 'prepar']",,food speaks;
"['short', 'wait', 'worri', 'manag', 'somehow', 'get', 'troubl', 'would']",have trouble;somehow managed;short wait;,we were;we have;trouble have;short wait;wait have;
"['huge', 'wife', 'shrimp', 'fri', 'love']",fried shrimp;,wife had;fried shrimp;shrimp had;which are;it loved;
"['eater', 'good', 'everyth']",,everything was;i had;i 'm;
"['strike', 'go', 'lucki', 'one', 'food']",not go;lucky strike;,one go;not go;lucky strike;
"['would', 'servic', 'need', 'last', 'mean', 'tell', 'tabl', 'leav', 'time', 'aw']",last time;last time;,service is;last time;i was;i mean;last time;time mean;we told;they needed;table needed;we have;
"['chees', 'appet', 'could', 'get', 'fondu']",only get;cheese fondue;,we get;
"['soho', 'interest', 'artsi', 'cute', 'exemplifi']",exemplifies soho;,it exemplifies;soho exemplifies;
"['tri', 'matter', 'good', 'everyth']",try everything;,everything try;it is;
"['half', 'hour', 'though', 'even', 'wait', 'tabl', 'well', 'time', 'reserv']",half hour;had reservations;,we waited;we had;reservations had;
"['regular', 'happi', 'anyon', 'warmli', 'place', 'recommend', 'would']",,it recommend;
"['year', 'excel', 'mahal', 'indian', 'restaur', 'eat', 'twenti', 'eateri', 'taj', 'block', 'find']",twenty years;most excellent;indian eateries;indian restaurants;,i eating;taj mahal;them be;indian eateries;indian restaurants;
"['without', 'bar', 'littl', 'make', 'wait', 'manag', 'great', 'night', 'experi', 'nice', 'reserv']",little while;so nice;great experience;,we had;little while;manager was;wait experience;great experience;
"['green', 'tri', 'curri']",green curry;,green curry;curry try;
"['sauc', 'delici', 'wonder', 'appet', 'scallop']",,we had;scallops had;they were;sauce was;
"['seat', 'also', 'servic', 'quick', 'profession', 'promptli', 'time', 'reserv']",also seated;very quick;,we seated;service was;
"['green', 'masaman', 'come', 'super', 'seat', 'curri', 'wait', 'rare', 'flavor', 'spici', 'full', 'red', 'ask']",rarely have;super spicy;,you have;green masaman;super spicy;you ask;
"['food', 'sastifi']",,food sastifying;
"['give', 'anyon', 'place', 'tri', 'highli', 'recommend']",highly recommend;,i recommend;try give;
"['visit', 'drink', 'restaur', 'dinner', 'highli', 'recommend']",highly recommend;recommend visiting;having dinner;,i recommend;restaurant visiting;dinner having;
"['win', 'bar', 'interest', 'beer', 'well', 'price', 'stock']",very well;well stocked;interesting beers;well priced;priced wines;,bar stocked;interesting beers;priced wines;
['agre'],i agree;,i agree;
"['memori', 'interest', 'last', 'tell', 'make', 'close', 'weekend', 'tri', 'day', 'reserv']",last memorial;memorial day;i tried;make reservations;,last day;memorial day;i tried;reservations make;they closed;
"['food', 'good']",,food was;
"['worth', 'gigonda', 'valu', 'great', 'hous', 'select', 'price', 'wine', 'champagn']",great wine;wine selection;great value;,great selection;gigondas is;champagne is;great value;
"['music', 'luxuri', 'also', 'compet', 'play', 'hear', 'everyon', 'volumin', 'background', 'night', 'hard', 'convers', 'els']",own conversation;else competing;same luxury;also voluminous;,it 's;own conversation;conversation hear;everyone competing;same playing;
['thai'],just was;n't thai;,it was;n't was;
"['ever', 'alway', 'everyth', 'enjoy', 'great', 'fish', 'fresh', 'way', 'get', 'prepar']",enjoyed everything;ever gotten;so fresh;always prepared;great way;,i enjoyed;everything enjoyed;i gotten;fish is;great way;
"['yellowfun', 'particularli', 'select', 'tuna', 'love', 'mussel']",i particularly;particularly love;,i love;tuna love;
"['visit', 'murray', 'fix', 'love', 'bagel']",visit murrays;bagel fix;,i love;murrays visit;
"['impress', 'grandfath', 'earli', 'lot', 'old', 'fun', 'make', 'sceneri', 'thoroughli', 'dinner', 'admir', 'school', 'remind', 'stuff', 'italian', 'reserv']",early dinner;thoroughly impressed;old school;school italian;italian scenery;,we made;early reservations;reservations made;me reminds;old scenery;italian scenery;fun stuff;
['recommend'],,
"['calm', 'place', 'nice']",,place was;
"['bargain', 'delight', 'plate', 'chees', 'great', 'vari']",cheese plate;varied delight;great bargain;,plate is;varied delight;great bargain;
"['still', 'glass', 'could', 'water', 'watch', 'drink', 'parch']",still been;so watch;,i drank;glasses drank;
"['sit', 'servic', 'great', 'fast', 'get']",fast service;,we sat;we got;great service;service got;
"['attract', 'server', 'friendli', 'quit', 'attent']",very attentive;quite attractive;,most are;
"['rate', 'think', 'high', 'place', 'local']",think locals;so high;,i think;locals rate;place rate;
"['averag', 'servic']",,service is;
"['typic', 'pizzeria', 'oliv', 'realli', 'nice', 'usual', 'like', 'oil', 'flat', 'terrif', 'job', 'brush', 'sort', 'tomato', 'crust', 'fave', 'sauc', 'less', 'do', 'pizza', 'plu', 'godmoth', 'offer', 'special', 'tradit']",really nice;nice job;typical pizzeria;terrific specials;traditional flat;flat pizza;olive oil-brushed;oil-brushed crust;less tomato;,they done;nice job;job done;typical faves;faves offering;terrific specials;traditional pizza;flat pizza;olive crust;brushed crust;less tomato;usual than;
"['girl', 'go']",go girls;,girls go;
"['includ', 'fork', 'forget', 'pita', 'sandwich', 'plastic', 'hummu', 'platter']",n't include;plastic forks;n't include;,they forgot;sandwich forgot;n't include;plastic forks;forks include;n't include;pita include;
"['steak', 'surprisingli', 'great', 'fish', 'sushi', 'good']",surprisingly great;,steak is;fish is;sushi was;
"['downtown', 'asian', 'place', 'fusion', 'mani']",asian fusion;many places;further downtown;,asian fusion;many places;downtown places;
"['meet', 'new', 'old', 'world', 'school']",old school;new world;,old school;school meets;new world;world meets;
"['pizza', 'jem', 'becom', 'reluct', 'place', 'want', 'write', 'overcrowd', 'would']",not want;pizza place;,i am;i want;not want;jem become;
"['servic', 'staff', 'poorli', 'joint', 'restaur', 'poor', 'eat', 'rather', 'light', 'mcdonald', 'attent', 'would']",not very;very attentive;rather eaten;,service was;restaurant lit;staff attentive;not attentive;i eaten;
"['favorit', 'new', 'one', 'place', 'probabl']",new favorite;favorite places;,this is;new places;favorite places;
"['number', 'call', 'order', 'place', 'truli', 'earn', 'work', 'alot', 'reput']",being number;has alot;so called;called reputation;,place has;alot has;called reputation;reputation earn;
"['would', 'prefer', 'quiter', 'famili', 'go', 'restaur', 'occass', 'smaller', 'celebr']",only go;quiter restaurants;,we go;occassion celebrate;i prefer;smaller restaurants;restaurants prefer;
"['east', 'west', 'side', 'one', 'better', 'much']",east side;much better;west side;,one is;
['know'],,they know;you know;
"['still', 'chill', 'lot', 'decent', 'sushi', 'cocktail', 'eat', 'choos', 'gf', 'decor', 'divers']",still choose;decent sushi;,gf choose;i choose;diverse cocktails;decent sushi;
"['surprisingli', 'tatin', 'flaki', 'appl', 'dinner', 'tart', 'light', 'end']",surprisingly light;flaky apple;,we ended;dinner ended;light tarte;
"['select', 'buffet', 'nice']",nice selection;,buffet had;nice selection;selection had;
"['waitstaff', 'friendli']",very friendly;,waitstaff are;
"['place', 'great', 'restaur']",great place;,restaurant is;great place;
"['parisian', 'beat', 'cosett', 'path', 'step', 'miracul', 'small', 'bistro']",off-the-beaten path;path parisian;parisian bistro;,you step;you 're;small bistro;parisian bistro;
"['smite', 'sever', 'time', 'total']",several times;totally smitten;,i been;several times;
"['experi', 'terribl']",terrible experience;,terrible experience;
"['love', 'place']",,i love;place love;
"['although', 'servic', 'order', 'wait', 'food', 'crowd', 'get', 'slow']",slow had;get food;not crowded;,service was;food get;not crowded;
"['return', 'tri', 'chocol']",,chocolate try;
"['mushroom', 'slice', 'regular']",regular slice;,it 's;regular slice;not mushroom;
"['real', 'star', 'visit', 'galleri']",real gallery;,real gallery;that visited;
"['averag', 'pathet', 'servic', 'ambienc', 'food']",below average;,food was;service was;
"['enjoy', 'actor', 'put', 'realli', 'show']",really enjoyed;,i enjoyed;shows enjoyed;
"['new', 'york', 'tri', 'first', 'time', 'bagel']",first time;new york;new york;,first time;new york;we had;new bagel;bagel try;
"['effici', 'servic', 'courteou']",efficient courteous;,service was;efficient courteous;
"['favorit', 'definint', 'least', 'one']",least favorite;,one is;least favorite;
"['mermaid', 'urg', 'check', 'inn', 'month', 'friend']",,i urged;inn check;
"['lack', 'soup', 'past', 'flavor', 'fish', 'miso', 'well', 'unfortun', 'prepar']",lacked flavor;unfortunately not;not as;as well;well prepared;,soup lacked;flavor lacked;fish was;not prepared;
"['disappoint', 'go', 'everytim', 'never', 'husband']",never disappointed;,husband everytime;i go;we are;never are;
"['best', 'bagel']",best bagels;,they are;best bagels;i had;
['disappoint'],not disappointed;,we were;not were;
"['ambienc', 'new', 'appreci', 'review', 'preview', 'either', 'food', 'peopl', 'read', 'yorker']",i 've;either not;not new;new yorkers;more appreciation;,i read;some read;people are;not are;new yorkers;more appreciation;appreciation have;food have;
"['attract', 'recent', 'toon', 'space', 'redo']",recently been;been redone;very attractive;attractive space;,toons redone;it 's;attractive space;
"['filet', 'side', 'appet', 'drink']",,
"['huge', 'special', 'price', 'noth', 'portion']",are nothing;nothing special;,prices are;special nothing;portions are;
"['quiet', 'abl', 'time', 'go', 'eat', 'talk', 'relax', 'good', 'meal', 'locat', 'nice']",nice quiet;quiet location;good meal;very good;good time;,nice location;quiet location;location eat;good meal;meal eat;good time;time have;
"['impress', 'arriv', 'past', 'dinner', 'place', 'expect']",impressive past;,we arrived;that has;impressive past;past has;that 's;
"['spot', 'think', 'howev', 'hang', 'place', 'good']",i think;good hang;,i think;place is;good hang;spot hang;
"['worth', 'fix', 'itsuperb', 'least', 'prix', 'person', 'per', 'well', 'food', 'menu', 'spend', 'prepar']",prix fixe;so be;well worth;worth itsuperb;,menu is;prix fixe;60 spend;it is;worth food;itsuperb food;
"['special', 'rao', 'restaur', 'noth', 'good']",good restaurant;'s nothing;nothing special;,rao is;good restaurant;it 's;special nothing;
"['impress', 'extens', 'wine', 'list']",wine list;,list is;
"['waitress', 'wonder']",most wonderful;wonderful waitress;,we had;wonderful waitress;waitress had;
"['littl', 'staff', 'incompet', 'never', 'friendli', 'experi', 'bistro']",little bistro;very friendly;never experienced;more incompetency;,staff is;little bistro;i experienced;never experienced;more incompetency;incompetency experienced;
"['fantast', 'uniqu', 'flavor', 'quail', 'full', 'pasta']",,quail was;pastas were;
"['pack', 'pm', 'noisi', 'leav']",,we left;it was;
"['green', 'posit', 'concern', 'speak', 'seem', 'neg', 'review', 'okay', 'chinatown', 'never', 'balanc', 'bo', 'live', 'fair', 'write', 'time']",never write;there does;n't seem;fair balance;negative reviews;green bo;'s time;,i write;never write;n't seem;fair balance;balance seem;negative reviews;green bo;bo concerning;it 's;i live;
"['garlic', 'mash', 'zucchini', 'butter', 'potato', 'melt', 'blend', 'simpli', 'mouth']",mashed potatoes;,potatoes are;which melts;
"['friendli', 'staff', 'courteou']",,staff is;
"['pleas', 'never', 'fail']",never fails;,never fails;
"['servic', 'though', 'spotti', 'decor', 'nice']",,decor is;service be;
"['impress', 'servic', 'rush', 'asid', 'food', 'drink']",rushed service;very impressed;,rushed service;we were;
"['visit', 'absolut']",absolutely visit;,
"['roll', 'make', 'scallop', 'spici', 'sure']",,you have;spicy roll;roll have;
"['would', 'look', 'dollar', 'din', 'valu', 'experi', 'anyon', 'indian', 'place', 'highli', 'fine', 'definit', 'recommend']",highly recommend;fine indian;indian dining;,i recommend;place recommend;who looking;fine experience;indian experience;that is;
"['kid', 'even', 'great', 'pub', 'atmospher']",,it 's;they were;
"['sushi', 'big', 'draw']",big draw;,big draw;draw is;you sushi;
"['restaur', 'sichuan', 'nyc', 'consid', 'best', 'grand']",best grand;grand sichuan;,i consider;best restaurant;grand sichuan;restaurant consider;
"['come', 'definetli', 'spend', 'back', 'friend']",,we spent;$ spent;
"['villag', 'last', 'go', 'birthday', 'night']",last night;,last night;
"['worker', 'skip', 'custom', 'order', 'talk', 'ignor', 'femal', 'time']",other times;,some ignore;me ignore;female customers;other times;they skipped;order skipped;
"['usual', 'special', 'quit', 'good']",usually quite;quite good;,specials are;
"['dessert', 'snack', 'mix', 'well', 'food', 'drink', 'best']",best desserts;mixed drinks;as well;,they 've;best desserts;desserts 've;mixed drinks;
"['de', 'warm', 'gelato', 'chocol', 'scoop', 'lech', 'dulc', 'tri', 'mud', 'cake']",,cake try;
"['bad', 'good']",,that 's;
"['insid', 'stauff', 'realli', 'cool']",really cool;cool stauff;,stauff cool;
"['attract', 'tiffin', 'still', 'new', 'overhaul', 'featur', 'make', 'restaur', 'menu', 'furnitur', 'classic', 'much']",new restaurant;still features;same classical;classical furniture;made tiffin;so attractive;,new restaurant;restaurant features;much features;same furniture;classical furniture;that made;tiffin made;menu overhauled;
"['villag', 'burger', 'best']",best burger;,best burger;i had;
"['visit', 'ny', 'orsay', 'week', 'restaur', 'tri', 'menu']",ny restaurant;,we visited;menu tried;
"['stomach', 'cole', 'slaw', 'space', 'get', 'knish', 'would']",cole slaw;more space;,i gotten;slaw gotten;stomach had;more space;space had;
"['come', 'still', 'week', 'restaur', 'great', 'save', 'much']",n't save;still great;,n't save;much save;it was;
"['go', 'never', 'back', 'would']",never go;back there;,never go;
"['three', 'without', 'arriv', 'week', 'dinner', 'us', 'night', 'reserv']",,three arrived;
"['sooth', 'excel', 'blond', 'servic', 'premium', 'sake', 'great', 'wood', 'decor']",very soothing;premium sake;,blond decor;decor is;sake is;service is;
"['usual', 'well', 'worth', 'wait']",well worth;,it is;
"['spici', 'mean', 'say', 'care']",say spicy;,they say;spicy say;they mean;it mean;
"['elsewher', 'money', 'anywher', 'could', 'better', 'easili', 'spend']",easily be;better spent;,money spent;
"['toast', 'make', 'drawback', 'egg', 'bagel']",n't toast;n't make;make eggs;,they toast;n't toast;bagel toast;they make;n't make;eggs make;
"['alway', 'glass', 'great', 'wait', 'wine']",great glass;,we had;great glass;glass had;we waited;
"['bring', 'appetit']",,appetites bring;
"['pleasant', 'staff', 'wonder', 'wait', 'b', 'gorgeou', 'way', 'fun', 'beautif', 'cuter', 'part', 'aesthet']",wait staff;most part;part gorgeous;wonderful aesthetic;aesthetic beautification;she's-way-cuter-than-me-that-b @;* way;,wait staff;staff is;most part;wonderful way;aesthetic way;not in;
"['lack', 'hour', 'cours', 'place', 'atmospher', 'anyway', 'expect', 'bagel']",,atmosphere lacking;what expect;you expect;
"['good', 'warm', 'servic']",very good;,service was;
"['garlic', 'tikka', 'masala', 'chicken', 'dinner', 'naan']",chicken tikka-masala;garlic naan;,i had;masala had;garlic naan;
"['insid', 'quaint', 'west', 'look', 'romant', 'po', 'side', 'cornelia', 'like', 'dinner', 'set', 'top', 'broadway', 'realli', 'nyc', 'street', 'stori', 'cool']",cornelia street;west side;so cool;cool quaint;n't top;romantic dinner;,street looks;west side;cool quaint;you top;n't top;setting top;romantic dinner;
"['ye', 'expect', 'romant', 'nite', 'may', 'make', 'restaur', 'like', 'other', 'wait', 'requir', 'busi', 'say']",n't expect;busy restaurant;,others said;n't expect;restaurant make;nite make;busy restaurant;restaurant require;you require;
"['ass', 'place', 'serious', 'kick']",kicks ass;,place kicks;ass kicks;
"['skilin', 'new', 'citi', 'go', 'york', 'even', 'raini', 'like', 'food', 'view', 'day', 'good', 'foggi', 'terrif']",new york;foggy rainy;rainy day;i went;,food was;view was;new skiline;foggy day;rainy day;i went;
"['also', 'thin', 'fill', 'get', 'quickli', 'cold']",so thin;very quickly;,it is;it gets;not filling;that filling;
"['descript', 'like', 'food', 'noth', 'menu']",is nothing;,food is;
"['cashew', 'pad', 'nut', 'memor', 'chicken', 'tri', 'experi', 'se', 'repeat', 'ew']",pad se-ew;repeatable experience;,ew try;nuts cashew;memorable experience;
"['pizza', 'k']",just o.k;,it 's;
"['recommend', 'love', 'highli', 'would']",highly recommend;,i loved;it loved;
['twice'],here twice;twice now;,i been;
"['ambienc', 'decent', 'matter', 'opinion', 'may', 'sweet', 'think', 'well', 'food', 'thing', 'annoy', 'consid', 'best']",sweet thing;just annoying;,food is;ambience 's;it 's;some consider;it be;sweet thing;i thought;it was;
"['bring', 'someth', 'place', 'differ', 'want', 'kid', 'best', 'friend']",best place;bring kids;do something;something different;,best place;kids bring;who want;something do;different something;
"['bite', 'friendli', 'slow', 'servic']",bit slow;very friendly;,service was;they were;
"['hype', 'howev', 'restaur', 'understand', 'extraordinari']",not understand;extraordinary hype;,i understand;not understand;extraordinary hype;hype understand;
"['small', 'cute', 'restaur']",small cute;,it 's;small restaurant;cute restaurant;
['return'],,i returning;
"['east', 'bistro', 'warm', 'leon', 'hip', 'villag', 'live', 'special', 'basic', 'fare', 'well', 'gem', 'atmospher', 'casual', 'good', 'french', 'prepar']",east village;well prepared;prepared basic;basic french;french bistro;good specials;lively atmosphere;,leon is;casual gem;prepared fare;basic fare;french fare;bistro fare;good specials;warm atmosphere;
"['sligtli', 'averag', 'citi', 'food', 'better', 'heartland', 'midtown', 'breweri']",above average;sligtly better;other heartland;,food is;other breweries;
"['thiu', 'shabu', 'anyon', 'must', 'love']",loves shabu-shabu;,thius is;who loves;shabu loves;
"['food', 'absolut', 'horribl']",absolutely horrible;,food was;
"['premisi', 'turnov', 'cook', 'food', 'high', 'pretti', 'fresh', 'appear']",n't appear;high turnover;,food appear;n't appear;high turnover;
"['dirti', 'unkempt', 'restaur']",,restaurant was;
"['though', 'place', 'nice']",nice place;,nice place;
"['visit', 'dine', 'may', 'difficult', 'restaur', 'japanes', 'mizu', 'warn', 'find']",other japanese;japanese restaurants;,you find;it difficult;other restaurants;japanese restaurants;
"['attract', 'similar', 'special', 'custom', 'restaur', 'indian', 'dinner', 'use', 'door']",other indian;indian restaurants;dinner special;attract customers;,other restaurants;indian restaurants;they use;dinner use;special dinner;customers attract;
"['quiet', 'earli', 'restuar', 'late', 'pack', 'go', 'small', 'nice']",small restuarant;so go;quiet- go;,it is;small restuarant;it be;it packed;
"['cart', 'give', 'speak', 'english', 'delici', 'food', 'peopl', 'understand', 'point', 'job']",n't understand;n't speak;delicious food;,people understand;n't understand;you understand;they speak;n't speak;english speak;job is;delicious food;food give;you point;
"['usual', 'disast', 'crackl', 'salad', 'cheap', 'restaur', 'calamari', 'crispi', 'dress', 'lightli', 'mani']",cheap disaster;many restaurants;lightly dressed;,crackling salad;calamari salad;salad is;which is;cheap disaster;many restaurants;
"['excel', 'sushi', 'eat', 'place', 'greatest']",greatest sushi;sushi place;,not place;greatest place;you eat;
"['hold', 'throw', 'shockingli', 'easi', 'simpl', 'deposit', 'date', 'fl', 'dinner', 'entir', 'nd', 'mezz', 'grp', 'contract', 'group']",shockingly easy;simple contract;,dinner throw;simple contract;contract hold;date hold;entire fl;2nd fl;fl mezz;
"['ice', 'smooth', 'tea', 'thai', 'amazingli', 'yummi']",amazingly smooth;,thai tea;tea was;
"['mayb', 'staff', 'problem', 'lucki', 'never']",never had;,we had;never had;problems had;we been;
"['price', 'way', 'drink']",,way drinks;
"['guy', 'constantli', 'main', 'like', 'complain', 'place', 'level', 'nois', 'downsid', 'nazi', 'run']",main downside;nazi-like guy;constantly complains;,main downside;downside is;like guy;it running;who complains;
"['come', 'order', 'like', 'food', 'right']",n't like;,what like;i like;n't like;food came;it ordered;
"['site', 'weari', 'use', 'warn', 'recommend']",very weary;,that use;site use;
"['price', 'moder']",moderate prices;,moderate prices;
"['hyde', 'last', 'great', 'pub', 'night', 'time', 'jekyl']",great time;pub last;last night;,we had;great time;time had;last night;
"['tri', 'comparison', 'side']",,it side;
"['life', 'think', 'minnow', 'meal', 'best']",i think;i 've;best meals;,i think;i had;best meals;meals had;
"['complaint', 'although', 'present', 'well', 'food', 'tasti', 'un', 'biggest']",biggest complaint;un-tasty food;,biggest complaint;complaint was;
"['flair', 'parisian', 'cozi', 'restaur', 'tini', 'get', 'certain']",tiny restaurant;as cozy;certain parisian;parisian flair;,tiny restaurant;restaurant is;it gets;certain flair;parisian flair;
"['sorri', 'better', 'rate']",so sorry;sorry i;,i rate;n't rate;
"['food', 'importantli', 'excel']",,food is;
"['buon', 'appetito']",,
"['quiet', 'great', 'someth', 'kind', 'music', 'group', 'roofdeck', 'nice']",great roofdeck;nice group;,great roofdeck;nice group;quiet music;
"['east', 'genuin', 'move', 'side', 'restaur', 'upper', 'miss', 'would']",upper east;east side;genuinely miss;,we were;upper side;we miss;restaurant miss;
"['woman', 'smile', 'know', 'bubbl', 'care', 'young', 'great', 'manag', 'truli', 'friendli', 'experi', 'part', 'best']",best part;friendly young;young woman;great smile;truly cared;,best part;part knowing;manager cared;bubbly woman;friendly woman;young woman;great smile;we doing;
"['plethora', 'spoil', 'villag', 'ok', 'late', 'restaur', 'open', 'nyc', 'us', 'stay', 'grow']",very late;,all growing;we spoiled;most stay;
"['servic', 'crust', 'plain', 'salmon', 'howev', 'sesam']",as plain;crusted salmon;,service was;crusted salmon;i had;
"['recommend', 'highli', 'would']",highly recommend;,i recommend;it recommend;
"['go', 'quick', 'alon', 'great', 'either', 'lunch', 'friend']",quick lunch;,it 's;quick lunch;alone lunch;
"['mediocr', 'servic', 'horribl', 'go', 'vow', 'make', 'food', 'never', 'best', 'back']",horrible service;,food was;it was;horrible service;that made;me vow;never go;
"['lloovv', 'place']",,place lloovve;
"['accur', 'nois', 'crowd', 'review']",here are;,some are;
"['grab', 'spice', 'pay', 'mind', 'cheap', 'drink', 'great', 'eat', 'logic', 'place', 'beauti', 'set', 'get']",great place;cheap eats;beautiful setting;,you get;you pay;spice is;great place;cheap eats;eats grab;beautiful setting;
"['enthusiast', 'check', 'final', 'crack', 'last', 'go', 'tell', 'one', 'rave', 'night', 'let', 'saturday', 'friend']",enthusiastic friends;last saturday;saturday night;,i went;it check;enthusiastic friends;last saturday;me tell;cracked tell;
"['also', 'rat', 'authent', 'chili', 'place']",also have;more authentic;,place have;rating have;
"['servic', 'everyth', 'terribl', 'wait', 'differ', 'thing', 'serv', 'peopl', 'sever', 'allow', 'ask']",different people;same thing;,service was;we had;several ask;different people;same thing;we allowed;
"['thursday', 'last', 'go']",last thursday;,last thursday;
"['love', 'place', 'everytim', 'go']",i love;place more;more everytime;,i love;place love;more everytime;i go;
"['go', 'restaur', 'one', 'eat', 'differ', 'place', 'tri', 'mani']",many different;different restaurants;,i go;many restaurants;different restaurants;this is;you go;
"['bite', 'littl', 'energi', 'overpric', 'cours', 'fill', 'food', 'crowd', 'beauti', 'peopl', 'surpris', 'atmospher', 'good']",little crowded;bit overpriced;beautiful people;surprising good;,little crowded;atmosphere filled;beautiful people;food was;
"['offer', 'drink', 'refil', 'order', 'dessert']",only ordered;ordered desserts;,we ordered;desserts ordered;refills offered;
"['brooklyn', 'smith', 'restaur', 'best', 'street', 'saul']",best restaurant;smith street;,saul is;best restaurant;smith street;
"['sweet', 'slow', 'waiter']",,waiters are;
"['dinner', 'brunch', 'lunch', 'twice', 'time']",few times;,i been;few times;
"['valentin', 'go', 'ino']",,we went;
"['kicker', 'grass', 'beef', 'howev', 'real', 'chicken', 'chili', 'lemon', 'menu', 'cub']",real kicker;lemon grass;,real kicker;kicker is;
"['think', 'good', 'would']",,it was;not was;what thought;i thought;it be;
"['visit', 'among', 'restaur', 'indian', 'music', 'best']",indian restaurants;,music is;indian restaurants;i visited;
"['bread', 'howev', 'chop', 'meal', 'quit', 'good', 'lamb']",lamb chops;quite good;,i had;meal were;
"['alway', 'say', 'custom']",always says;n't have;have customers;,he says;i have;n't have;customers have;
"['servic', 'rao', 'nyc', 'atmospher', 'best']",best service;,rao has;best service;service has;
"['ice', 'beer', 'instead', 'order', 'indian', 'work', 'cold']",instead ordered;,cold beer;beer ordered;which works;
"['good', 'date', 'friend']",,
"['bring', 'throw', 'dish', 'noodl', 'tabl', 'never', 'complimentari', 'request', 'us', 'ignor', 'sugar', 'repeat']",never brought;complimentary noodles;repeated requests;,they brought;never brought;complimentary noodles;noodles brought;repeated requests;requests ignored;dishes threw;
"['tikka', 'masala', 'one', 'chicken', 'best']",best chicken;,best masala;
"['excel', 'dumpl', 'amid', 'serv', 'clean', 'decor', 'chic']",excellent dumplings;chic decor;,excellent dumplings;dumplings served;clean decor;chic decor;
"['alway', 'almost', 'kitchen', 'howev', 'slow']",almost always;always slow;,kitchen is;
"['big', 'excel', 'time', 'squar', 'fatti', 'beef', 'pastrami', 'less', 'place', 'tourist', 'corn', 'much', 'around']",corned beef;much less;less fatty;big tourist;,corned beef;beef are;excellent fatty;big places;square places;
"['staff', 'go', 'wait', 'place', 'never', 'cute', 'nice', 'would']",cute place;nice wait;never go;there again;,cute place;nice wait;wait staff;never go;
"['time', 'good']",good time;,we had;good time;time had;
"['come', 'unexpect', 'today', 'also', 'beyond', 'mention', 'enjoy', 'call', 'host', 'girlfriend', 'truli', 'thing', 'hop', 'us', 'birthday', 'thank']",,hostess called;me called;us thank;she hoped;girlfriend enjoyed;unexpected her;a above;
"['rude', 'bite', 'new', 'york', 'peopl']",rude bit;new york;,people are;rude bit;it 's;new york;
"['worth', 'felt']",,we felt;it was;
"['plain', 'slice', 'great', 'whole', 'like', 'spars', 'place', 'top', 'get', 'sprinkl']",get toppings;whole slice;not sparsely;sparsely sprinkled;,plain slice;slice is;you get;toppings get;whole slice;slice topped;not sprinkled;
"['also', 'servic', 'ambienc', 'horribl', 'great']",also horrible;,service was;ambience is;not is;
"['good', 'takeout', 'servic', 'great']",,service is;takeout is;
"['overwhelm', 'review', 'restaur', 'base', 'pm', 'appear']",,it appears;restaurant overwhelmed;
"['pizza', 'soggi', 'overpric']",,pizza overpriced;
"['view', 'excel', 'everyth', 'citi', 'extens', 'side', 'eat', 'menu', 'quit']",quite extensive;,everything is;menu is;you eat;
"['least', 'still', 'citi', 'pay', 'doubl', 'compar', 'restaur', 'italian']",least double;other italian;italian restaurant;still do;n't compare;,you pay;double pay;other restaurant;italian restaurant;most compare;n't compare;
"['food', 'expens', 'qualiti', 'littl']",little too;too expensive;,expensive quality;
"['come', 'look', 'hear', 'place', 'thing', 'good']",heard good;good things;,i heard;good things;things heard;
"['street', 'place', 'live']",i live;,i live;place is;
['horribl'],,
"['fish', 'fake', 'tank']",here 's;fake fish;fish tanks;,fake tanks;
"['worth', 'though', 'wait']",,
"['servic', 'delici', 'fish', 'fresh', 'never', 'bad']",never had;bad service;,i had;never had;bad service;service had;fish is;
"['take', 'cobb', 'go', 'salad', 'order', 'lobster', 'first', 'jazz', 'complet', 'live', 'atmospher', 'band', 'time']",first time;time i;i went;completely taken;live jazz;,first time;i went;live band;i ordered;salad ordered;
"['tea', 'decid', 'eat', 'room', 'cute', 'small']",,we decided;which was;
"['experi', 'meal', 'amaz']",amazing meal;,amazing meal;
"['apppet', 'uniqu']",unique apppetizers;,unique apppetizers;
"['alway', 'size', 'come', 'staff', 'variou', 'kind', 'differ', 'handl', 'group', 'attent', 'amaz']",always been;i 've;always been;various different;different group;,staff been;i been;they handled;various sizes;different sizes;sizes handled;that come;
"['monday', 'deal', 'town', 'restaur', 'dinner', 'night', 'fine', 'best']",best deal;monday night;fine restaurant;,it is;best deal;fine restaurant;
"['noth', 'special', 'place']",nothing special;,special nothing;
"['come', 'also', 'anyth', 'side', 'like', 'sandwich', 'near', 'chip']",n't come;,sandwiches come;7 nearing;n't come;
"['stray', 'never']",never strayed;,never strayed;
