reviews,lemmas,lemmas,aspectCategory
I read the other review and have to say I had the opposite experience here last Sunday.,"['read', 'last', 'say', 'sunday', 'opposit', 'experi', 'review']",other review;say i;opposite experience;here last;last sunday;,anecdotes/miscellaneous
"The highlight of the night was the mayonaisse for my side of fries I received from one of the food runners, which is not good considering the bill was nearly $100.","['mayonaiss', 'highlight', 'fri', 'runner', 'receiv', 'one', 'consid', 'night', 'nearli', 'good', 'bill', 'food', 'side']",not good;good considering;,food
"I choose to go with one of the special, the braised lamb shank in red wine, which was excellent.","['red', 'choos', 'excel', 'lamb', 'brais', 'one', 'special', 'shank', 'go', 'wine']",braised lamb;red wine;was excellent;,food
"If anyones has doubt of not knowing enough about wines,please check their wine list.","['anyon', 'list', 'know', 'check', 'pleas', 'doubt', 'win', 'enough', 'wine']",has doubt;not knowing;wine list;,food
Never again!,['never'],never again;,anecdotes/miscellaneous
"The only concern i have is with the slighly all-business waitstaff who order and throw the food down, rushing you out.","['busi', 'order', 'concern', 'throw', 'rush', 'slighli', 'food', 'waitstaff']",only concern;slighly all-business;all-business waitstaff;,service
Have the iced tea.,"['ice', 'tea']",iced tea;,food
For Park avenue I expected so much more.,"['expect', 'park', 'much', 'avenu']",so much;much more;,anecdotes/miscellaneous
"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.","['small', 'main', 'serv', 'chicken', 'salmon', 'wasnt', 'impress', 'good', 'entre', 'girlfriend']",small servings;main entree;,food
So rude.,['rude'],so rude;,anecdotes/miscellaneous
you can actually get 2 salads worth if u take it home and add it to some lettuce!,"['get', 'actual', 'u', 'salad', 'home', 'take', 'lettuc', 'worth', 'add']",actually get;salads worth;u take;,food
The ambience is very romantic and definitely a good place to bring a date.,"['date', 'bring', 'good', 'definit', 'romant', 'place', 'ambienc']",very romantic;good place;,ambience
They are FAST.,['fast'],,service
"It is far more popular as a bar than as a restaurant, with only a few tables and the waiter being the bartender, but we greatly enjoyed the unobtrusive atmosphere.","['tabl', 'far', 'waiter', 'restaur', 'greatli', 'atmospher', 'enjoy', 'bartend', 'unobtrus', 'bar', 'popular']",far more;more popular;few tables;greatly enjoyed;unobtrusive atmosphere;,ambience
"The food is very good for it's price, better than most fried dumplings I've had.","['fri', 'dumpl', 'better', 'good', 'food', 'price']",very good;'s price;most fried;fried dumplings;,food
There are much better places in NY with better prices.,"['much', 'ny', 'better', 'place', 'price']",much better;better places;better prices;,anecdotes/miscellaneous
"Very neighborhoody, very quick and sufficient.","['quick', 'neighborhoodi', 'suffici']",very quick;,ambience
Obv caviar is top of the line but the rest of the menu is so diverse it gives you a chance to taste so manydifferent varietys.,"['obv', 'chanc', 'divers', 'give', 'manydiffer', 'menu', 'top', 'caviar', 'varieti', 'rest', 'line', 'tast']",so diverse;so manydifferent;manydifferent varietys;,food
I ate here a week ago and found most dishes average at best and too expensive.,"['find', 'best', 'averag', 'week', 'dish', 'eat', 'ago', 'expens']",most dishes;dishes average;too expensive;,food
"Everything is delicious, though, my gf and I come here once a week sometimes- you will get addicted!","['come', 'get', 'addict', 'though', 'week', 'everyth', 'sometim', 'delici', 'gf']",i come;here once;,anecdotes/miscellaneous
And I could do without the cigar smoke.,"['without', 'smoke', 'could', 'cigar']",,ambience
"Still, try it once, since if you end up loving the food, it could be one of your best dining experiences.","['could', 'sinc', 'best', 'end', 'one', 'din', 'tri', 'still', 'food', 'love', 'experi']",best dining;,anecdotes/miscellaneous
I've waited over one hour for food.,"['food', 'hour', 'wait', 'one']",,service
"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.","['santa', 'guest', 'chop', 'fish', 'chip', 'salad', 'enjoy', 'fe', 'pizza']",other guests;enjoyed pizza;santa fe;chopped salad;,food
The ambience is very calm and quiet.,"['calm', 'ambienc', 'quiet']",very calm;,ambience
"Both times I was extremely dissappointed by the service, which was boarderline rude.","['dissappoint', 'time', 'extrem', 'rude', 'servic', 'boarderlin']",extremely dissappointed;boarderline rude;,service
Stay away from the latter since you won't go for seconds (hint hint).,"['sinc', 'away', 'stay', 'hint', 'latter', 'second', 'go']",n't go;hint hint;,food
"not only does make the best pizza in NY , maybe anywhere.","['best', 'anywher', 'mayb', 'make', 'ny', 'pizza']",not only;only does;best pizza;maybe anywhere;,food
The spicy Tuna roll is huge and probably the best that I've had at this price range.,"['spici', 'probabl', 'best', 'huge', 'rang', 'roll', 'price', 'tuna']",,food
Price and quality of fish alone will keep us from making a return visit.,"['keep', 'qualiti', 'fish', 'alon', 'visit', 'make', 'us', 'return', 'price']",fish alone;,food
Our waiter and all of the people helping him were attentive and genuine.,"['waiter', 'peopl', 'genuin', 'attent', 'help']",,service
The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.,"['bistro', 'effici', 'atmospher', 'serv', 'bustl', 'dish', 'mean', 'simpl', 'place', 'wine']",simple dishes;,food
This is one of the best comfort food places in the city.,"['best', 'place', 'one', 'comfort', 'citi', 'food']",best comfort;,food
"Overall, the ingredients and technique are there and I am encouraged enough to return at lunch or dinner to see whether the boldness of the flavour palette improves.","['palett', 'whether', 'see', 'lunch', 'ingredi', 'dinner', 'improv', 'techniqu', 'overal', 'bold', 'flavour', 'enough', 'return', 'encourag']",,food
I had a huge pastrami sandwich on a roll.,"['sandwich', 'pastrami', 'huge', 'roll']",huge pastrami;,food
"Though you will undoubtedly be seated at a table with what seems like barely enough room (no matter what the size of your party), the warm atomosphere is worth the cramped quarters- you'll have fun and forgot about the tight spot you're in.","['like', 'matter', 'worth', 'enough', 'tight', 'bare', 'undoubtedli', 'though', 'quarter', 'spot', 'atomospher', 'cramp', 'forget', 'size', 'room', 'warm', 'fun', 'parti', 'tabl', 'seat', 'seem']",undoubtedly be;barely enough;enough room;cramped quarters-;have fun;tight spot;,ambience
The fish was not fresh and the rice tasted old and stale.,"['fresh', 'fish', 'stale', 'old', 'rice', 'tast']",not fresh;,food
"Considering their price of $6.25 for lunch special, the dish was ridiculously small.","['ridicul', 'small', 'consid', 'dish', 'special', 'lunch', 'price']",lunch special;ridiculously small;,price
This is the pinnacle of Indian Fast Food (all fast foods in my opinion).,"['opinion', 'fast', 'indian', 'food', 'pinnacl']",indian fast;,food
"Besides, when you have bad service, that's less money you have to tip.","['bad', 'money', 'less', 'tip', 'servic', 'besid']",bad service;less money;,service
We do not need to go to a four-star restaurant anymore.,"['star', 'restaur', 'need', 'anymor', 'four', 'go']",not need;four-star restaurant;,anecdotes/miscellaneous
The wine list is also really nice.,"['list', 'also', 'nice', 'realli', 'wine']",wine list;also really;really nice;,food
I thanked my friend who recommended me this restaurant and will certainly recommend it to others.,"['certainli', 'restaur', 'thank', 'recommend', 'friend', 'other']",certainly recommend;,anecdotes/miscellaneous
I plan on stopping by next week as well.,"['stop', 'week', 'next', 'well', 'plan']",next week;as well;,anecdotes/miscellaneous
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!","['come', 'sensual', 'beat', 'devin', 'servic', 'oyster', 'price']",n't be;,food
"Compared to Ess-a, Tal offers a less doughy bagel!","['doughi', 'compar', 'less', 'ess', 'tal', 'offer', 'bagel']",tal offers;less doughy;doughy bagel;,food
Ballato's is consistently delicious authentic italian food.,"['food', 'ballato', 'consist', 'delici', 'authent', 'italian']",consistently delicious;delicious authentic;authentic italian;italian food;,food
"The service was attentive, yet discreet.","['discreet', 'servic', 'yet', 'attent']",,service
"As a retired hipster, I can say with some degree of certainty that for the last year Lucky Strike has been the best laid-back late night in the city.","['back', 'strike', 'best', 'year', 'retir', 'lay', 'late', 'lucki', 'last', 'night', 'hipster', 'citi', 'say', 'certainti', 'degre']",retired hipster;last year;best laid-back;laid-back late;late night;,anecdotes/miscellaneous
For those prices and the dressed up atmosphere you expect more and should get more.,"['get', 'atmospher', 'dress', 'expect', 'price']",,ambience
"Then, IF they answer the phone, you're lucky if they don't hang up on you!","['hang', 'phone', 'lucki', 'answer']",n't hang;,service
They offer the same menu but have creative drinks that are loaded with alcohol and cheeky names -- but they do cost you.,"['cost', 'creativ', 'name', 'alcohol', 'menu', 'cheeki', 'offer', 'drink', 'load']",same menu;creative drinks;,food
We went to eat at the Jekyll and Hyde restaurant on Friday night and really enjoyed the fun atmosphere and good food.,"['friday', 'food', 'restaur', 'atmospher', 'eat', 'jekyl', 'enjoy', 'night', 'realli', 'good', 'go', 'fun', 'hyde']",friday night;really enjoyed;good food;,food
The food was pretty tradional but it was hot and good with large portions.,"['hot', 'pretti', 'portion', 'good', 'larg', 'food', 'tradion']",pretty tradional;large portions;,food
Highly recommended to all!,"['highli', 'recommend']",highly recommended;,anecdotes/miscellaneous
highly recommended.,"['highli', 'recommend']",highly recommended;,anecdotes/miscellaneous
"Unless you are eating in the Pizzeria side of this place, and are not in a rush, this place is a bad idea.","['unless', 'bad', 'pizzeria', 'place', 'rush', 'idea', 'eat', 'side']",pizzeria side;bad idea;,anecdotes/miscellaneous
You have to increase the service a lot.,"['increas', 'servic', 'lot']",,service
Ambiance is barely romantic but management tries.,"['ambianc', 'tri', 'bare', 'manag', 'romant']",barely romantic;,ambience
"I must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.","['chef', 'order', 'dish', 'appet', 'share', 'entre', 'end', 'small', 'cold', 'full', 'especi', 'plan', 'udon', 'person', 'portion', 'tast', 'pay', 'size', 'special', 'eat', 'main', 'warn', 'prepar', 'meal', 'menu', 'reader', 'must', 'intend']",very small;not intend;special tasting;main entree;cold udon;,food
They were very abrupt with me when I called and actually claimed the food was late because they were out of rice.,"['claim', 'actual', 'late', 'abrupt', 'rice', 'food', 'call']",very abrupt;actually claimed;,service
"After we got our sashimi order, I could not believe how small the portions were!","['small', 'get', 'could', 'order', 'sashimi', 'believ', 'portion']",not believe;,food
"After the main course came, we didn't see our waiter for at least 40 MINUTES!","['come', 'waiter', 'main', 'see', 'least', 'cours', 'minut']",main course;n't see;,service
It will be on my to do list the next visit to NYC.,"['visit', 'list', 'next', 'nyc']",next visit;,anecdotes/miscellaneous
Nothing better than buying a snapple for $3.25 too.,"['noth', 'better', 'snappl', 'buy']",,price
"When family came in he gave them apps to test their palets, and then ordered for them.","['come', 'famili', 'palet', 'order', 'app', 'give', 'test']",then ordered;,service
I was pleasantly surprised to find this gem in Hoboken.,"['find', 'surpris', 'pleasantli', 'gem', 'hoboken']",pleasantly surprised;,anecdotes/miscellaneous
"Service is extraordinary, yet not overbearing, and the decor brings a taste of trendy SoHo into Queens.","['decor', 'extraordinari', 'yet', 'bring', 'queen', 'servic', 'soho', 'trendi', 'overbear', 'tast']",yet not;not overbearing;trendy soho;,service
"The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.","['popcorn', 'skimpi', 'unattract', 'drip', 'anoth', 'eat', 'greas', 'one', 'top', 'drink', 'dosa', 'person']",personally i;popcorn topping;,food
The service was excellent and the food was delicious.,"['food', 'excel', 'servic', 'delici']",,food
If I wanted to deal with a crappy scene and annoying customers I'd go out in Manhattan.,"['manhattan', 'custom', 'want', 'go', 'scene', 'crappi', 'deal', 'annoy']",i wanted;crappy scene;annoying customers;,anecdotes/miscellaneous
"After a seafood craving, i checked citysearch and chose to go to Fish based on a previous review and the citysearch info.","['fish', 'choos', 'previou', 'check', 'citysearch', 'seafood', 'info', 'crave', 'go', 'base', 'review']",checked citysearch;previous review;,anecdotes/miscellaneous
Right off the major deegan you get ladies from all over the city.,"['ladi', 'get', 'right', 'major', 'citi', 'deegan']",major deegan;get ladies;,ambience
Until you realize that their five minutes is meaningless and your wait may be anywhere from two to twenty minutes it may be frustrating.,"['five', 'may', 'frustrat', 'realiz', 'twenti', 'anywher', 'two', 'wait', 'minut', 'meaningless']",twenty minutes;,service
always fresh and delicious.,"['fresh', 'alway', 'delici']",always fresh;,food
"The food was very good, but not very thai.","['thai', 'food', 'good']",very good;not very;very thai;,food
"Thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.","['restaur', 'quit', 'thalia', 'peopl', 'serv', 'match', 'beauti', 'food']",beautiful restaurant;beautiful people;n't quite;quite match;,food
The fillings may be unconventional but the dosa batter is definitely authentic and the combinations very tasty.,"['may', 'authent', 'batter', 'fill', 'combin', 'definit', 'dosa', 'unconvent', 'tasti']",definitely authentic;very tasty;,food
"This is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!","['theatr', 'meet', 'pre', 'perfect', 'friend', 'dinner', 'drink', 'lunch', 'spot']",perfect spot;meeting friends;having lunch;after-theatre drinks;,anecdotes/miscellaneous
This is a fun restaurant to go to.,"['go', 'fun', 'restaur']",,anecdotes/miscellaneous
"The mussaman curry that I ordered was as thin as water and aside from the poorly fried tofu that I ordered in it, they graciously provided me with ONE piece of poorly cooked potato.","['provid', 'mussaman', 'order', 'fri', 'tofu', 'one', 'thin', 'piec', 'curri', 'potato', 'poorli', 'gracious', 'asid', 'water', 'cook']",as thin;poorly fried;fried tofu;graciously provided;poorly cooked;cooked potato;,food
Had a late night dinner on a Saturday night.,"['night', 'dinner', 'saturday', 'late']",late night;saturday night;,anecdotes/miscellaneous
A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,"['pleasant', 'restaur', 'atmospher', 'serv', 'except', 'servic', 'tri', 'food', 'anyth', 'great']",n't try;do anything;serve great;great food;great service;,food
Their sake martini is wonderful.,"['sake', 'martini', 'wonder']",,food
"Well, this place is so Ghetto its not even funny.","['funni', 'ghetto', 'well', 'even', 'place']",so ghetto;not even;even funny;,ambience
Bravissimo !!,['bravissimo'],,anecdotes/miscellaneous
Once they ran out of Gnochi and made it for me from scratch!,"['make', 'gnochi', 'run', 'scratch']",,anecdotes/miscellaneous
We would like to thank Marcelo and Grace for a wonderful dining experience!!!,"['like', 'wonder', 'grace', 'thank', 'marcelo', 'would', 'din', 'experi']",thank marcelo;wonderful dining;,anecdotes/miscellaneous
"Found service above average, but that could be because we were 13 of us.","['find', 'could', 'averag', 'servic', 'us']",found service;,service
"When I arrived at Orsay I was thrown back, in a veyr good sense.","['sens', 'back', 'orsay', 'throw', 'arriv', 'veyr', 'good']",veyr good;good sense;,anecdotes/miscellaneous
"Bagels are ok, but be sure not to make any special requests!","['request', 'make', 'bagel', 'special', 'ok', 'sure']",special requests;,food
"This is the Cheers of New York, whether you've ever been there or not.","['whether', 'new', 'ever', 'york', 'cheer']",new york;ever been;,anecdotes/miscellaneous
It's to die for!,['die'],,anecdotes/miscellaneous
Cute and decorative.,"['decor', 'cute']",,ambience
"I know this is the case in many nyc eateries, but here, they really cram you in to the point where it's borderline uncomfortable.","['eateri', 'cram', 'point', 'know', 'case', 'mani', 'nyc', 'realli', 'borderlin', 'uncomfort']",many nyc;nyc eateries;really cram;borderline uncomfortable;,ambience
fine dining restaurant quality.,"['restaur', 'fine', 'qualiti', 'din']",fine dining;,food
Overall a disappointing experience for that price category.,"['disappoint', 'categori', 'overal', 'price', 'experi']",disappointing experience;,anecdotes/miscellaneous
"I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood.","['time', 'coupl', 'neighborhood', 'buffet', 'chennai', 'lunch']",,anecdotes/miscellaneous
The food was exceptional.,"['food', 'except']",,food
You will be satisfied.,['satisfi'],,anecdotes/miscellaneous
Another great place to take out-of-towners!,"['anoth', 'towner', 'take', 'place', 'great']",great place;take out-of-towners;,anecdotes/miscellaneous
"But, hey, there is anything better with a decent vegetarian selection in Astoria.","['decent', 'vegetarian', 'hey', 'astoria', 'better', 'select', 'anyth']",is anything;decent vegetarian;vegetarian selection;,anecdotes/miscellaneous
We were less than impressed.,"['impress', 'less']",,anecdotes/miscellaneous
A Thai restaurant out of rice during dinner?,"['thai', 'rice', 'dinner', 'restaur']",,anecdotes/miscellaneous
but still my date was bad,"['still', 'bad', 'date']",,anecdotes/miscellaneous
Would definitely go back again.,"['go', 'would', 'back', 'definit']",definitely go;back again;,anecdotes/miscellaneous
I have been to Rao's probably 15 times the past 3 years and it keeps getting better.,"['time', 'get', 'keep', 'probabl', 'year', 'rao', 'better', 'past']",,anecdotes/miscellaneous
The portions are small but being that the food was so good makes up for that.,"['small', 'portion', 'make', 'good', 'food']",so good;good makes;,food
(and I have eaten my share) Which impresses me for having such a large amount of people to serve.,"['peopl', 'serv', 'impress', 'share', 'amount', 'larg', 'eat']",i have;large amount;,service
"Sure, the setting is nice.","['set', 'nice', 'sure']",,ambience
Overall a worthwhile experience.,"['experi', 'worthwhil', 'overal']",worthwhile experience;,anecdotes/miscellaneous
"The service is friendly, if not the most prompt in the world, the food is great, and the prices, while not cheap, won't put your wallet out of commission.","['world', 'prompt', 'wallet', 'servic', 'cheap', 'put', 'friendli', 'food', 'price', 'commiss', 'great']",most prompt;not cheap;n't put;,food
"Had 1 appetizer, 2 entrees and 2 cokes and the bill was ~$55.00, not including tip.","['includ', 'tip', 'appet', 'entre', 'bill', 'coke']",not including;including tip;,food
"It's really a takeaway place, I wouldn't sit if I could take it home.","['could', 'takeaway', 'home', 'take', 'realli', 'sit', 'place']",n't sit;,anecdotes/miscellaneous
THE MOST FUN RESTAURANT I HAVE EVER BEEN TOO!,"['ever', 'fun', 'restaur']",most fun;fun restaurant;ever been;,anecdotes/miscellaneous
Best drumsticks over rice and sour spicy soup in town!,"['drumstick', 'spici', 'best', 'town', 'soup', 'sour', 'rice']",best drumsticks;sour spicy;,food
Some of the finest latin women you'll see in your life hang out at Jimmy's.,"['hang', 'jimmi', 'see', 'women', 'finest', 'latin', 'life']",finest latin;latin women;,ambience
Slightly above average wines start at $70+ with only one selection listed at $30+.,"['slightli', 'list', 'averag', 'one', 'win', 'start', 'select']",,food
Their whitefish salad is excellent--all whitefish with a little mayo.,"['excel', 'whitefish', 'salad', 'mayo', 'littl']",whitefish salad;little mayo;,food
"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).","['come', 'conge', 'reason', 'dish', 'rice', 'price', 'noodl']",very reasonable;reasonable price;,price
"Nobody at this restaurant will give firm answers about anything and in the end, not one person takes responsibility for anything.","['restaur', 'respons', 'firm', 'nobodi', 'end', 'one', 'give', 'take', 'person', 'anyth', 'answer']",give firm;takes responsibility;,service
I had a great experience.,"['experi', 'great']",great experience;,anecdotes/miscellaneous
"The chicken parm was edible but had canned tomato sauce and boxed pasta and the chicken with portobello mushrooms consisted of dry, inedible chicken with terrible sauce.","['mushroom', 'box', 'dri', 'parm', 'tomato', 'terribl', 'chicken', 'can', 'pasta', 'consist', 'edibl', 'sauc', 'portobello', 'ined']",canned tomato;boxed pasta;inedible chicken;terrible sauce;,food
I recommend this place to everyone who asks me where to go for a good meal.,"['place', 'recommend', 'go', 'meal', 'good', 'everyon', 'ask']",i recommend;good meal;,anecdotes/miscellaneous
The waitresses are nice--also you can just get counter service sit.,"['get', 'counter', 'also', 'nice', 'servic', 'sit', 'waitress']",just get;counter service;,service
The only friendly staff member was the guy at the bar.,"['staff', 'member', 'bar', 'friendli', 'guy']",only friendly;friendly staff;,service
"Having been a long time Ess-a-Bagel fan, I was surpised to find myself return time and time again to Murray's.","['time', 'find', 'surpis', 'murray', 'ess', 'long', 'bagel', 'return', 'fan']",long time;time ess-a-bagel;ess-a-bagel fan;return time;,anecdotes/miscellaneous
Go for it!,['go'],,anecdotes/miscellaneous
Highly recommended.,"['highli', 'recommend']",highly recommended;,anecdotes/miscellaneous
"You can certainly find restaurants that offer a superior fine dining experience, but for superb food at reasonable prices, La Villa can't be beat.","['find', 'certainli', 'restaur', 'la', 'reason', 'superb', 'superior', 'beat', 'fine', 'offer', 'villa', 'din', 'food', 'price', 'experi']",certainly find;find restaurants;superior fine;fine dining;dining experience;superb food;reasonable prices;n't be;,food
Won't or Can't is not in the service directory.,"['directori', 'servic']",n't is;,service
I cannot imagine a friendlier staff working in a restaurant.,"['restaur', 'staff', 'friendlier', 'imagin', 'work', 'cannot']",not imagine;friendlier staff;,service
I do suggest to ask to be seated upstairs if you are looking to be a little cozy.,"['seat', 'cozi', 'suggest', 'littl', 'look', 'upstair', 'ask']",little cozy;,anecdotes/miscellaneous
"To speak of the Park Side, words can not describe.","['word', 'speak', 'park', 'describ', 'side']",park side;not describe;,anecdotes/miscellaneous
"The red curry is weak and tasteless, the pad thai is stuck together and lumpy, the rice is often overcooked, and the seafood is pretty sketchy.","['red', 'togeth', 'sketchi', 'pretti', 'curri', 'tasteless', 'stick', 'weak', 'pad', 'rice', 'thai', 'seafood', 'often', 'overcook', 'lumpi']",red curry;often overcooked;pretty sketchy;,food
The wine list is extensive and can easily hike up an otherwise reasonably priced meal.,"['easili', 'list', 'reason', 'extens', 'meal', 'hike', 'otherwis', 'price', 'wine']",wine list;easily hike;otherwise reasonably;reasonably priced;priced meal;,food
"Saul is pretty good, but definitely not great.","['saul', 'pretti', 'good', 'definit', 'great']",pretty good;definitely not;not great;,food
"I would recommend Roxy's for that, but not for their food.","['roxi', 'food', 'would', 'recommend']",recommend roxy;,food
We always get a sampling of appetizers and share.,"['get', 'alway', 'share', 'appet', 'sampl']",always get;,anecdotes/miscellaneous
"Overall I was impressed and will return, it's a great QPR (Quality to Price Ratio).","['qpr', 'qualiti', 'ratio', 'impress', 'overal', 'return', 'price', 'great']",overall i;great qpr;,anecdotes/miscellaneous
"It is nearly impossible to get a table, so if you ever have the chance to go here for dinner, DO NOT pass it up.","['tabl', 'get', 'chanc', 'ever', 'nearli', 'dinner', 'pass', 'imposs', 'go']",nearly impossible;ever have;not pass;,anecdotes/miscellaneous
Their pad penang is delicious and everything else is fantastic.,"['els', 'penang', 'everyth', 'pad', 'delici', 'fantast']",else is;,food
"The puke green walls leave a lot to be desired, but the food is very good.","['leav', 'wall', 'desir', 'puke', 'lot', 'green', 'good', 'food']",puke green;green walls;very good;,food
"The flavors are very fresh and pretty inobtrusive, nothing flashy.","['fresh', 'noth', 'pretti', 'flashi', 'inobtrus', 'flavor']",very fresh;pretty inobtrusive;,food
"I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!","['like', 'get', 'peopl', 'noir', 'incompet', 'jsut', 'cafe', 'evil', 'work', 'dont', 'wrong']",cafe noir;,service
The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.,"['like', 'hanger', 'flavorless', 'rubber', 'thaw', 'steak', 'mention', 'tuna', 'tast']",flavorless not;just been;,food
But $1 for each small piece???,"['piec', 'small']",small piece;,price
"Our son loves pizza and we have a certified Neapolitan pizzaria in our home city (Seattle), we liked this nearly as much - and the differences were more about personal preference than any reflection on either restaurant.","['like', 'restaur', 'pizza', 'certifi', 'pizzaria', 'seattl', 'much', 'nearli', 'home', 'prefer', 'either', 'differ', 'son', 'reflect', 'citi', 'person', 'love', 'neapolitan']",certified neapolitan;neapolitan pizzaria;nearly as;as much;personal preference;,anecdotes/miscellaneous
big and soft as well as good lunch food.,"['food', 'well', 'soft', 'good', 'big', 'lunch']",as well;good lunch;,food
"No food snobs allowed, this place is for people who appreciate good food.","['snob', 'peopl', 'place', 'appreci', 'good', 'food', 'allow']",good food;,anecdotes/miscellaneous
I liked the food at this quasi-thai restaurant.,"['like', 'restaur', 'quasi', 'thai', 'food']",quasi-thai restaurant;,food
By far the best salad I have had in a fast food restaurant.,"['far', 'restaur', 'best', 'salad', 'fast', 'food']",best salad;fast food;,food
Suan is a great place that I often take my friends (classmates) too.,"['suan', 'friend', 'take', 'place', 'classmat', 'often', 'great']",great place;often take;,anecdotes/miscellaneous
Not a great place for family or general dining.,"['famili', 'gener', 'din', 'place', 'great']",great place;general dining;,anecdotes/miscellaneous
"As for the bar, this is another bad idea.","['bar', 'bad', 'anoth', 'idea']",bad idea;,food
"Their bagels are fine, but they are a little overcooked, and not really a 'special' bagel experience.","['fine', 'littl', 'realli', 'bagel', 'special', 'experi', 'overcook']",little overcooked;not really;,food
"Unlike HH up the block, this place actually gives you hearty and hot bagels this town is known for.","['hot', 'actual', 'unlik', 'hh', 'town', 'know', 'give', 'block', 'hearti', 'bagel', 'place']",actually gives;hot bagels;,food
I thought going to Jimmys would give me a real Domincan exprience.,"['jimmi', 'real', 'think', 'domincan', 'give', 'would', 'exprienc', 'go']",real domincan;domincan exprience;,anecdotes/miscellaneous
The barebecued salmon is elegantly spiced and not at all dry.,"['dri', 'spice', 'salmon', 'elegantli', 'barebecu']",barebecued salmon;elegantly spiced;,food
"Same owner as the guy who owns Typhoon, which is just down the street on St. Marks and 1st Ave.","['ave', 'own', 'owner', 'st', 'typhoon', 'mark', 'street', 'guy']",same owner;owns typhoon;,anecdotes/miscellaneous
What generous portions!,"['portion', 'gener']",generous portions;,food
The workers there also absolutely load the bagel with cream cheese (gets a little messy).,"['get', 'absolut', 'also', 'chees', 'cream', 'littl', 'messi', 'bagel', 'worker', 'load']",there also;also absolutely;absolutely load;little messy;,food
I was wrong.,['wrong'],,anecdotes/miscellaneous
The wine the service was very good too.,"['servic', 'wine', 'good']",very good;,food
"So, the menu is written in chalk above your head and it all sounds delicious.","['write', 'head', 'menu', 'sound', 'delici', 'chalk']",,food
The highly spiced chai tea was great too.,"['spice', 'chai', 'tea', 'highli', 'great']",highly spiced;spiced chai;,food
No plans to return anytime soon.,"['return', 'anytim', 'plan', 'soon']",anytime soon;,anecdotes/miscellaneous
"I have been there many times, and food is good and consistent.","['time', 'consist', 'mani', 'good', 'food']",there many;many times;,food
"Seriously, this is the best all you can eat in town- As everyone says, the Spicy Tuna hand rolls are the best- have 4 of these, and you've broken even.","['hand', 'spici', 'best', 'town', 'break', 'even', 'serious', 'say', 'everyon', 'roll', 'eat', 'tuna']",,food
There is not a single place in Chinatown where you have a nice neighborhood feeling like here.,"['like', 'neighborhood', 'nice', 'feel', 'chinatown', 'singl', 'place']",single place;nice neighborhood;,ambience
"While Sapphire is certainly not lacking in ambiance, and probably has the best decor of any Indian restaurant I have been to in New York City, the food was not what I had hoped for.","['certainli', 'ambianc', 'probabl', 'lack', 'best', 'decor', 'restaur', 'new', 'sapphir', 'york', 'hop', 'indian', 'citi', 'food']",certainly not;not lacking;probably has;best decor;indian restaurant;new york;,food
I would highly recommend this place to anyone looking for a casual atmosphere that whisks you away to the left bank of the river Seine.,"['anyon', 'leav', 'atmospher', 'casual', 'away', 'river', 'sein', 'recommend', 'whisk', 'would', 'bank', 'look', 'place', 'highli']",highly recommend;casual atmosphere;left bank;,anecdotes/miscellaneous
I just do not understand what the fuss is all about.,"['understand', 'fuss']",just do;not understand;,anecdotes/miscellaneous
The meat dishes were only so-so.,"['dish', 'meat']",only so-so;,food
"His wife Tanya, the hostess, completes the comforting atmosphere by being delightfully warm and gracious.","['delight', 'graciou', 'atmospher', 'tanya', 'host', 'complet', 'comfort', 'warm', 'wife']",delightfully warm;,service
"We liked it so much, that we will always make it a point to dine here when we visit New York.","['point', 'like', 'dine', 'new', 'visit', 'much', 'york', 'make', 'alway']",so much;always make;new york;,anecdotes/miscellaneous
"The menu consisted of standard brassiere food, better then places like Balthazar etc.","['like', 'standard', 'balthazar', 'place', 'consist', 'menu', 'better', 'brassier', 'food', 'etc']",,food
"I have been a longtime fan of Holy Basil in the East Village, and while I do believe their food has slightly slipped in quality, I have been hesitant to be disloyal.","['food', 'slightli', 'qualiti', 'disloy', 'fan', 'east', 'holi', 'slip', 'longtim', 'believ', 'villag', 'hesit', 'basil']",longtime fan;holy basil;east village;slightly slipped;,anecdotes/miscellaneous
"But the best part about LS is the late night atmosphere, delightfully free of the BTs.","['delight', 'part', 'best', 'ls', 'late', 'atmospher', 'free', 'night', 'bt']",best part;late night;delightfully free;,ambience
